Year,January,February,March,April,May,June,July,August,September,October,November,December
1965,1361.3057,1361.294,1361.3223,1361.3228,1361.3002,1361.3771,1361.376,1361.3881,1361.3218,1361.3284,1361.3242,1361.3136
1966,1361.337,1361.407,1361.3395,1361.3464,1361.5814,1361.6274,1361.5747,1361.6624,1361.5258,1361.6444,1361.6288,1361.6349
1967,1361.4661,1361.6979,1361.6385,1362.0503,1361.6189,1361.7866,1361.5917,1361.6663,1362.0507,1361.9154,1361.7352,1361.6265
1968,1361.6825,1361.9904,1362.0809,1361.9121,1361.6276,1361.566,1361.7847,1361.7094,1361.8163,1361.8217,1361.8479,1361.6589
1969,1361.7872,1361.9324,1361.7576,1361.9167,1361.9492,1361.7538,1361.976,1361.9036,1362.0052,1361.6981,1361.7501,1361.8771
1970,1361.801,1361.6753,1362.0779,1361.8578,1361.7317,1361.9685,1361.8042,1361.9215,1361.8002,1361.8386,1361.8328,1361.8816
1971,1361.6272,1361.6896,1361.7468,1361.5632,1361.5775,1361.6584,1361.4293,1361.4008,1361.6577,1361.3588,1361.4739,1361.5361
1972,1361.7437,1361.54,1361.6204,1361.8308,1361.5281,1361.6233,1361.808,1361.7053,1361.7495,1361.4884,1361.6082,1361.4517
1973,1361.5281,1361.4995,1361.3502,1361.3999,1361.531,1361.4863,1361.4484,1361.4093,1361.2368,1361.4066,1361.3606,1361.3307
1974,1361.3252,1361.3242,1361.371,1361.2853,1361.423,1361.448,1361.2273,1361.3646,1361.2642,1361.2915,1361.4236,1361.3254
1975,1361.2854,1361.2616,1361.2625,1361.2815,1361.2869,1361.2657,1361.2236,1361.1487,1361.448,1361.3324,1361.2452,1361.298
1976,1361.2709,1361.265,1361.1595,1361.2051,1361.3026,1361.2734,1361.2355,1361.2334,1361.2908,1361.3384,1361.2686,1361.2306
1977,1361.2944,1361.3986,1361.37,1361.3494,1361.4407,1361.2842,1361.4373,1361.4773,1361.2451,1361.47,1361.7826,1361.592
1978,1361.7965,1361.4407,1361.6738,1361.6823,1361.8182,1361.9956,1361.9633,1362.1033,1361.7832,1362.1195,1361.9269,1361.4049
1979,1361.9319,1362.2645,1362.7245,1362.1917,1362.298,1361.6838,1362.1976,1362.0955,1362.1509,1362.1473,1361.9227,1362.4775
1980,1362.4476,1362.1923,1362.6199,1361.8197,1361.9757,1362.3445,1362.2699,1362.2822,1362.1666,1362.1173,1361.6118,1362.5387
1981,1362.6483,1362.1078,1362.2867,1362.6357,1362.3014,1362.1619,1361.344,1362.6686,1362.3064,1361.9688,1362.3232,1362.2302
1982,1362.4714,1361.3713,1361.3518,1362.0371,1361.9899,1361.056,1361.7031,1361.7426,1362.0724,1362.2015,1361.8754,1361.7615
1983,1362.0726,1361.8119,1361.8257,1361.8279,1361.6686,1361.6803,1361.8835,1362.0338,1361.8439,1361.6484,1361.7467,1361.675
1984,1360.9341,1361.181,1361.7621,1361.0679,1361.3163,1361.6952,1361.7286,1361.5863,1361.5039,1361.3954,1361.2771,1361.3617
1985,1361.244,1361.3068,1361.2611,1361.1294,1361.2296,1361.291,1361.234,1361.3628,1361.2748,1361.194,1361.2491,1361.294
1986,1361.2906,1361.1675,1361.3021,1361.2607,1361.3339,1361.265,1361.2526,1361.204,1361.2097,1361.2418,1361.325,1361.2795
1987,1361.2693,1361.2632,1361.267,1361.2163,1361.345,1361.4546,1361.4686,1361.375,1361.459,1361.442,1361.5863,1361.6024
1988,1361.6593,1361.7173,1361.534,1361.6476,1361.9204,1361.5718,1361.3488,1361.71,1361.9706,1361.6415,1361.9169,1361.8024
1989,1362.0247,1362.1587,1361.9265,1362.1699,1362.3761,1361.824,1362.7047,1362.05,1361.7678,1362.5636,1362.394,1362.4291
1990,1362.4414,1362.2257,1362.2379,1362.4851,1362.1062,1362.3877,1362.0226,1361.6699,1362.4089,1362.1974,1361.3508,1361.921
1991,1361.5348,1361.8354,1361.9319,1362.6871,1361.9824,1361.9777,1362.23,1362.193,1362.5004,1361.6536,1362.221,1361.4285
1992,1362.0728,1361.9536,1362.3589,1362.2018,1362.0342,1361.9097,1361.6243,1361.6045,1361.7617,1361.4755,1361.7032,1361.882
1994,1361.2896,1361.5887,1361.6433,1361.4783,1361.386,1361.378,1361.3567,1361.3743,1361.2416,1361.2976,1361.4373,1361.2954
1995,1361.4304,1361.4099,1361.3363,1361.2808,1361.2805,1361.3293,1361.3048,1361.3181,1361.3,1361.2302,1361.2811,1361.241
1996,1361.2712,1361.228,1361.1904,1361.2086,1361.2434,1361.2332,1361.2281,1361.2538,1361.2888,1361.2366,1361.1157,1361.3204
1997,1361.2993,1361.2887,1361.3068,1361.3026,1361.3402,1361.3289,1361.332,1361.3864,1361.2416,1361.5432,1361.4308,1361.4747
1998,1361.5787,1361.5168,1361.4003,1361.6934,1361.6041,1361.6506,1361.8511,1361.6605,1361.6462,1361.9623,1361.8809,1361.9692
1999,1362.1042,1361.8348,1361.9711,1361.8689,1361.9812,1361.9734,1362.0599,1362.0675,1362.2136,1361.7329,1361.9132,1361.9463
2000,1362.3506,1362.1687,1361.9939,1362.2375,1361.9108,1362.0281,1362.1401,1362.5767,1361.984,1362.6084,1362.4606,1362.5686
2001,1362.2892,1362.3119,1361.8824,1361.8597,1362.0925,1362.0206,1362.217,1361.9353,1361.7737,1362.2314,1361.9543,1362.4086
2002,1362.8835,1362.8602,1362.5936,1362.1416,1362.1659,1362.1512,1361.629,1361.7991,1361.9845,1361.9357,1361.8413,1362.3444
2003,1362.2438,1362.1492,1361.6288,1361.6735,1361.6788,1361.5311,1361.6709,1361.7899,1361.8505,1360.7906,1361.5948,1361.7275
2004,1361.5123,1361.5675,1361.5515,1361.6261,1361.4795,1361.506,1361.1465,1361.2194,1361.4816,1361.5154,1361.4349,1361.6178
2005,1361.1162,1361.3435,1361.313,1361.2676,1361.2483,1361.2291,1361.2877,1361.3584,1361.1774,1361.3395,1361.1814,1361.2891
2006,1361.3391,1361.3048,1361.2397,1361.262,1361.4227,1361.2767,1361.2229,1361.0892,1361.262,1361.28,1361.0597,1361.0748
2007,1361.09,1361.1149,1361.1953,1361.1434,1361.1669,1361.2335,1361.1835,1361.2196,1361.1638,1361.163,1361.1566,1361.188
2008,1361.2716,1361.2172,1361.1671,1361.2498,1361.2313,1361.1765,1361.1759,1361.1876,1361.1763,1361.1957,1361.1726,1361.1406
2009,1361.143,1361.1578,1361.1624,1361.1606,1361.2239,1361.2194,1361.1716,1361.1616,1361.1797,1361.2013,1361.2705,1361.2396
2010,1361.2754,1361.3927,1361.3057,1361.3822,1361.3627,1361.3256,1361.4047,1361.3546,1361.3553,1361.2633,1361.3619,1361.2983
2011,1361.3356,1361.3511,1361.3741,1361.7372,1361.7183,1361.7072,1361.5732,1361.4954,1361.4998,1361.6578,1361.8337,1361.9802
2012,1361.8209,1361.795,1361.6506,1361.7693,1361.6517,1361.7397,1361.4606,1361.8741,1362.0159,1361.7957,1361.8445,1361.8113
2013,1361.6747,1361.69,1361.8337,1361.7037,1361.9454,1361.8801,1361.9081,1361.9625,1361.8994,1361.6393,1361.6637,1361.9404
2014,1361.6924,1361.5901,1362.2932,1362.0272,1361.9138,1361.7971,1361.8143,1362.005,1361.963,1361.5731,1362.0165,1361.9578
2015,1362.0659,1362.4369,1362.1709,1362.2218,1362.0271,1361.8427,1361.9988,1361.6337,1361.5824,1361.788,1361.896,1361.762
2016,1361.704,1361.7703,1361.5923,1361.2639,1361.4188,1361.4874,1361.4229,1361.4545,1361.4265,1361.3861,1361.3805,1361.2803
2017,1361.3027,1361.3522,1361.2594,1361.312,1361.3613,1361.371,1361.2212,1361.2158,1361.0613,1361.3802,1361.3558,1361.307
2018,1361.2626,1361.199,1361.2217,1361.2584,1361.2977,1361.321,1361.3112,1361.2745,1361.2583,1361.2627,1361.227,1361.2499
2019,1361.2559,1361.2721,1361.2639,1361.1895,1361.2292,1361.3027,1361.2819,1361.2537,1361.2471,1361.2444,1361.2612,1361.2649
2020,1361.2808,1361.2573,1361.2633,1361.237,1361.2863,1361.3076,1361.288,1361.371,1361.3176,1361.3539,1361.3816,1361.5228
2021,1361.4215,1361.3696,1361.4412,1361.3999,1361.4021,1361.4774,1361.581,1361.5167,1361.4973,1361.5236,1361.5828,1361.6472
2022,1361.67,1361.8533,1361.8098,1361.9296,1362.1365,1362.1174,1361.9788,1361.9519,1362.1454,1362.2289,1362.0884,1361.862
2023,1362.1772,1362.4064,1362.5898,1362.572,1362.144,1362.5377,1362.033,1362.543,1362.6113,1362.822,1362.5399,1362.4066
2024,1362.6362,1362.2043,1362.5046,1362.6205,1362.3502,1362.4741,1362.7909,1362.3158,1363.2379,1362.4122,1362.5304,1362.6963
